Date,Open,High,Low,Close,Adj Close,Volume
2021-09-28,28.590000,29.540001,28.450001,28.580000,28.386526,11729800
2021-09-29,27.570000,28.000000,27.170000,27.309999,27.125124,11513300
2021-09-30,27.639999,28.080000,27.200001,27.360001,27.174786,10304100
2021-10-01,27.530001,28.260000,27.350000,28.070000,27.879978,7473400
2021-10-04,27.959999,28.540001,27.950001,28.080000,27.889912,7881600
2021-10-05,28.280001,28.500000,27.940001,28.299999,28.108421,6966900
2021-10-06,27.910000,28.139999,27.389999,27.750000,27.562145,8765000
2021-10-07,27.959999,28.389999,27.910000,28.049999,27.860113,7714800
2021-10-08,28.299999,28.379999,27.809999,27.889999,27.701197,7211700
2021-10-11,27.969999,28.100000,27.590000,27.680000,27.492619,7319100
2021-10-12,27.680000,27.820000,26.450001,26.549999,26.370268,15261700
2021-10-13,26.450001,26.670000,26.110001,26.480000,26.300743,12821900
2021-10-14,26.780001,27.610001,26.690001,27.490000,27.303905,7555300
2021-10-15,27.620001,28.620001,27.610001,28.280001,28.088558,14063300
2021-10-18,28.090000,28.930000,28.090000,28.600000,28.406391,8972100
2021-10-19,28.700001,29.070000,28.620001,28.860001,28.664631,8696400
2021-10-20,28.980000,29.299999,28.500000,28.590000,28.396460,11236500
2021-10-21,29.450001,30.799999,29.320000,30.570000,30.363054,21188500
2021-10-22,30.480000,31.000000,30.309999,30.469999,30.263731,11161000
2021-10-25,30.850000,30.980000,30.250000,30.629999,30.422647,7640300
2021-10-26,30.750000,30.780001,29.990000,30.139999,29.935965,8680700
2021-10-27,30.190001,30.309999,29.650000,29.700001,29.498945,7504800
2021-10-28,29.930000,30.540001,29.850000,30.450001,30.243868,7023000
2021-10-29,30.270000,30.680000,30.100000,30.330000,30.124680,7771800
2021-11-01,30.420000,31.260000,30.360001,31.250000,31.038452,8312500
2021-11-02,31.250000,31.629999,30.750000,31.010000,30.800077,8487500
2021-11-03,30.900000,31.379999,30.750000,31.250000,31.038452,6253200
2021-11-04,31.290001,31.650000,31.110001,31.330000,31.117910,5267000
2021-11-05,31.590000,32.040001,31.500000,31.950001,31.733713,8500900
2021-11-08,31.900000,32.279999,31.520000,31.600000,31.386084,7662000
2021-11-09,31.580000,32.110001,31.530001,31.770000,31.554932,4536900
2021-11-10,31.690001,32.139999,31.389999,31.520000,31.306625,6744800
2021-11-11,31.600000,32.070000,31.540001,31.690001,31.475473,4589900
2021-11-12,31.670000,31.930000,31.420000,31.820000,31.604593,6016700
2021-11-15,31.920000,32.029999,31.230000,31.350000,31.137775,7091100
2021-11-16,31.379999,31.680000,31.209999,31.209999,30.998722,5973300
2021-11-17,31.209999,31.320000,30.850000,30.930000,30.720619,6997200
2021-11-18,31.100000,31.469999,30.639999,31.410000,31.197369,6979300
2021-11-19,31.459999,31.790001,31.219999,31.450001,31.237099,7931600
2021-11-22,31.600000,32.570000,31.420000,31.930000,31.713848,10940100
2021-11-23,32.049999,32.529999,31.840000,32.189999,31.972088,13042700
2021-11-24,34.000000,36.209999,34.000000,35.439999,35.200085,34001100
2021-11-26,34.650002,35.240002,34.400002,34.580002,34.345913,9289800
2021-11-29,34.770000,36.090000,34.660000,35.930000,35.686771,16670700
2021-11-30,35.570000,35.959999,34.930000,35.279999,35.041168,20479200
2021-12-01,35.990002,38.380001,35.669998,36.459999,36.213181,24511000
2021-12-02,36.450001,38.270000,36.310001,37.639999,37.385193,18331200
2021-12-03,37.860001,38.490002,37.139999,37.549999,37.295803,16217400
2021-12-06,37.799999,38.220001,36.919998,36.930000,36.680000,12219500
2021-12-07,37.299999,37.700001,36.980000,37.290001,37.290001,10699300
2021-12-08,37.459999,37.549999,36.639999,36.709999,36.709999,10980600
2021-12-09,36.000000,36.490002,35.810001,36.150002,36.150002,14452800
2021-12-10,36.470001,36.849998,35.980000,36.430000,36.430000,9650500
2021-12-13,36.299999,36.400002,35.240002,35.279999,35.279999,10614700
2021-12-14,35.040001,35.869999,34.830002,35.599998,35.599998,11187100
2021-12-15,35.740002,36.310001,35.340000,36.259998,36.259998,9127000
2021-12-16,36.360001,37.029999,36.160000,36.700001,36.700001,12380000
2021-12-17,36.500000,37.290001,36.480000,36.570000,36.570000,30029500
2021-12-20,36.090000,36.189999,35.580002,36.130001,36.130001,9298300
2021-12-21,36.560001,37.060001,36.299999,37.020000,37.020000,9113800
2021-12-22,36.910000,37.349998,36.459999,37.279999,37.279999,6947900
2021-12-23,37.139999,38.040001,37.119999,37.650002,37.650002,6620300
2021-12-27,37.529999,38.189999,37.529999,38.099998,38.099998,5805700
2021-12-28,38.150002,38.380001,37.740002,37.950001,37.950001,5220100
2021-12-29,37.830002,38.410000,37.810001,37.980000,37.980000,4626800
2021-12-30,38.099998,38.209999,37.689999,37.750000,37.750000,4283100
